Date,SP500_Return,VIX,Yield_Spread
1994-01-14,0.37733861142850006,-1.044307021076964,0.6564558657475847
1994-01-21,-0.07783524164358073,-1.0516666039958753,0.6890111809021402
1994-01-28,0.28401479195584567,-1.1927266023642407,0.6456040940293996
1994-02-04,-0.8365808258019859,-0.5413976651175069,0.5587899202839177
1994-02-11,-0.0287265269912897,-0.638299698058558,0.4719757465384358
1994-02-18,-0.2808941803666188,-0.6088611324259894,0.5587899202839177
1994-02-25,-0.20479215690668745,-0.5965950049231884,0.5262346051293619
1994-03-04,-0.17947787691799666,-0.44940205978188386,0.5370863768475472
1994-03-11,0.08972730358064045,-0.5880087858583045,0.5479381485657324
1994-03-18,0.3463463558761308,-0.7781330602809509,0.49367928997480626
1994-03-25,-0.9918058067716311,-0.7352017309996093,0.5479381485657324
1994-04-01,-1.413020864165868,0.09643862545891502,0.6021970071566586
1994-04-08,0.06192972822048748,-0.3365541078785761,0.5479381485657324
1994-04-15,-0.14647759273304417,-0.4518553320738286,0.49367928997480626
1994-04-22,0.07290501504963759,-0.5794225667934207,0.330902714202028
1994-04-29,0.24066284949189848,-0.7229356034968082,0.3526062576383985
1994-05-06,-0.34568186560044944,-0.5622500116851914,0.24408854045654613
1994-05-13,-0.4025551859620756,-0.6284868428477017,0.25494031217473134
1994-05-20,0.9305622551063015,-0.8431432552974888,0.23323676873836088
1994-05-27,0.15723589709449867,-0.8799415208274303,0.15727436671106423
1994-06-03,0.19116116340035003,-0.9167397863573717,0.146422594992879
1994-06-10,-0.19272405636179768,-0.8554093828002898,0.18982968186561994
1994-06-17,-0.08112755466215969,-0.9020203865626261,0.27664385561110183
1994-06-24,-1.4977912338397368,-0.361086362884178,0.16812613842924948
1994-07-01,0.25507105774872413,-0.6505658255613589,0.15727436671106423
1994-07-08,0.2480653461116095,-0.7854926431998626,0.1789779101474347
1994-07-15,0.36067466506095675,-1.0283611021147072,0.22238499702017564
1994-07-22,-0.15701664658305511,-1.0357206850336187,0.146422594992879
1994-07-29,0.4061411881759105,-1.0467601763904473,0.13557082327469377
1994-08-05,-0.16701514094899614,-0.8983405951031703,0.10301550812013831
1994-08-12,0.37524135756577476,-1.0516666039958753,0.04875664952921213
1994-08-19,0.09420700315259789,-0.8382368276920604,0.0379048778110269
1994-08-26,0.8316690689001367,-0.9167397863573717,0.027053106092841665
1994-09-02,-0.30730270869541454,-1.0136418192984231,0.0379048778110269
1994-09-09,-0.30877488667156355,-0.8026651983080916,0.09216373640195308
1994-09-16,0.20376414880545818,-0.8419166191515164,0.10301550812013831
1994-09-23,-1.0850116366982652,-0.6297134789936741,0.04875664952921213
1994-09-30,0.21133383257375452,-0.6603786807722152,-0.005502209061714039
1994-10-07,-0.7471445257690674,-0.5818757221069043,0.04875664952921213
1994-10-14,1.1918252062145032,-0.7781330602809509,0.0379048778110269
1994-10-21,-0.43413677690850977,-0.46044155113871243,0.005349562656471195
1994-10-28,0.7212617475588136,-0.626033570555757,-0.005502209061714039
1994-11-04,-1.0766836313717412,-0.3574064544462609,-0.016353980779899274
1994-11-11,-0.055022396157661115,-0.3880716562248019,-0.0923163828071958
1994-11-18,-0.1400789845380282,-0.44940205978188386,-0.24424118686178894
1994-11-25,-0.8923193230051505,-0.27277043202954937,-0.42872130607093784
1994-12-02,0.030966635519852594,-0.38193870945186276,-0.6891638273073832
1994-12-09,-0.6438205740879356,-0.4444955151979944,-0.8085333162074206
1994-12-16,1.020042247051326,-0.8431432552974888,-0.8519404030801616
1994-12-23,0.03145975227073467,-0.9621242709521968,-0.9713098919801991
1994-12-30,-0.11168369605436172,-0.7928523430972354,-0.9279028051074582
1995-01-06,0.06549469307542112,-0.8014385621621192,-0.8410886313619764
1995-01-13,0.41092939566364795,-1.0504399678499028,-0.7651262293346798
1995-01-20,-0.16704220421931817,-0.9216462139628,-0.7434226858983093
1995-01-27,0.4349330921807662,-1.032040893574163,-0.6891638273073832
1995-02-03,0.6586600107739586,-1.0651593676446487,-0.7108673707437537
1995-02-10,0.18080668339229175,-1.0283611021147072,-0.775978001052865
1995-02-17,-0.017497481584895565,-0.975616917622509,-0.7000155990255684
1995-02-24,0.4622664667783085,-1.0823318057744162,-0.6132014252800867
1995-03-03,-0.289841704897197,-1.0075087555470223,-0.580646110125531
1995-03-10,0.29079690256502083,-0.8934341674977422,-0.6566085121528276
1995-03-17,0.438333913739255,-0.9645774262656804,-0.6240531969982719
1995-03-24,0.39111512330143966,-1.0394005934715358,-0.6023496535619015
1995-03-31,-0.08275633181036297,-0.7719999965295505,-0.6566085121528276
1995-04-07,0.4076911478480205,-0.8357835554001157,-0.5914978818437162
1995-04-14,0.16756800517673953,-1.0038289640875666,-0.5263872515346049
1995-04-21,-0.12143162163710057,-0.957217843346769,-0.47212839294367875
1995-04-28,0.4415566976896401,-0.9707104900170809,-0.580646110125531
1995-05-05,0.37115303838573793,-0.932685588341167,-0.5155354798164196
1995-05-12,0.36825374637464087,-0.9596709986602523,-0.580646110125531
1995-05-19,-0.5648406756216132,-0.840689983005544,-0.6349049687164572
1995-05-26,0.2924807201691828,-0.9155131502113993,-0.6240531969982719
1995-06-02,0.6326317687570663,-0.8198377534163206,-0.4829801646618639
1995-06-09,-0.41775557936715807,-0.8468230467569445,-0.6674602838710127
1995-06-16,0.8598357612053145,-1.0933712971312448,-0.6132014252800867
1995-06-23,0.6888160944585681,-1.0479868125364196,-0.6349049687164572
1995-06-30,-0.43615524270444395,-1.0160949746119061,-0.6349049687164572
1995-07-07,0.811648913403923,-0.9682572177251362,-0.5480907949709752
1995-07-14,0.19955539413948253,-0.9302324330276834,-0.6023496535619015
1995-07-21,-0.5270572462130148,-0.8946608036437146,-0.4612766212254935
1995-07-28,0.6284390672176408,-0.795305498410719,-0.47212839294367875
1995-08-04,-0.3554733660776266,-0.791625706951263,-0.45042484950730827
1995-08-11,-0.3456604612877361,-0.829650608627177,-0.5046837080982344
1995-08-18,0.24306514914155228,-0.9363654967790841,-0.6132014252800867
1995-08-25,0.004482258737613015,-0.8995672312491424,-0.5697943384073457
1995-09-01,0.2139665351262146,-1.0271344659687347,-0.6132014252800867
1995-09-08,0.5821077516782345,-1.0430803849309915,-0.6674602838710127
1995-09-15,0.702200681130685,-0.9915628365847654,-0.6566085121528276
1995-09-22,-0.17629963413129035,-0.883621312286886,-0.6566085121528276
1995-09-29,0.12881287729269372,-0.8492763190488892,-0.7217191424619388
1995-10-06,-0.19738522810565098,-0.6971769463021567,-0.732570914180124
1995-10-13,0.08118547619480351,-0.7352017309996093,-0.7651262293346798
1995-10-20,0.14763339239061965,-0.760960505172722,-0.7434226858983093
1995-10-27,-0.6112467402554376,-0.6174473514908732,-0.6457567404346424
1995-11-03,0.7070483649645982,-0.9081534503140265,-0.6023496535619015
1995-11-10,0.08900628492468238,-0.8210642725838316,-0.5697943384073457
1995-11-17,0.4484270385451124,-0.8799415208274303,-0.5914978818437162
1995-11-24,-0.06818057714245822,-0.9559912072007966,-0.6349049687164572
1995-12-01,0.41914277418463164,-1.0492134486823919,-0.6674602838710127
1995-12-08,0.6480465534481417,-1.0479868125364196,-0.7217191424619388
